206,gid206,-52,-92,0
207,gid207,-52,-88,0
208,gid208,-52,-84,0
209,gid209,-52,-80,0
210,gid210,-52,-76,0
211,gid211,-52,-72,0
212,gid212,-52,-68,0
213,gid213,-52,-64,0
214,gid214,-52,-60,0
215,gid215,-52,-56,0
216,gid216,-52,-52,0
217,gid217,-52,-48,0
218,gid218,-52,-44,0
219,gid219,-52,-40,0
220,gid220,-52,-36,0
221,gid221,-52,-32,0
222,gid222,-52,-28,0
223,gid223,-52,-24,0
224,gid224,-52,-20,0
225,gid225,-52,-16,0
226,gid226,-52,-12,0
227,gid227,-52,-8,0
228,gid228,-52,-4,0
229,gid229,-52,0,0
230,gid230,-52,4,0
231,gid231,-52,8,0
232,gid232,-52,12,0
233,gid233,-52,16,0
234,gid234,-52,20,0
235,gid235,-52,24,0
236,gid236,-52,28,0
237,gid237,-52,32,0
238,gid238,-52,36,0
239,gid239,-52,40,0
240,gid240,-52,44,0
241,gid241,-52,48,0
242,gid242,-52,52,0
243,gid243,-52,56,0
244,gid244,-52,60,0
245,gid245,-52,64,0
246,gid246,-52,68,0
247,gid247,-52,72,0
248,gid248,-52,76,0
249,gid249,-52,80,0
250,gid250,-52,84,0
251,gid251,-52,88,0
252,gid252,-52,92,0
253,gid253,-52,96,0
254,gid254,-52,100,0
255,gid255,-52,104,0
256,gid256,-52,108,0
257,gid257,-52,112,0
258,gid258,-52,116,0
259,gid259,-52,120,0
260,gid260,-52,124,0
261,gid261,-52,128,0
262,gid262,-52,132,0
263,gid263,-52,136,0
264,gid264,-52,140,0
265,gid265,-52,144,0
266,gid266,-52,148,0
267,gid267,-52,152,0
268,gid268,-52,156,0
269,gid269,-52,160,0
270,gid270,-52,164,0
271,gid271,-52,168,0
272,gid272,-52,172,0
273,gid273,-52,176,0
274,gid274,-48,-180,0
275,gid275,-48,-176,0
276,gid276,-48,-172,0
277,gid277,-48,-168,0
278,gid278,-48,-164,0
279,gid279,-48,-160,0
280,gid280,-48,-156,0
281,gid281,-48,-152,0
282,gid282,-48,-148,0
283,gid283,-48,-144,0
284,gid284,-48,-140,0
285,gid285,-48,-136,0
286,gid286,-48,-132,0
287,gid287,-48,-128,0
288,gid288,-48,-124,0
289,gid289,-48,-120,0
290,gid290,-48,-116,0
291,gid291,-48,-112,0
292,gid292,-48,-108,0
293,gid293,-48,-104,0
294,gid294,-48,-100,0
295,gid295,-48,-96,0
296,gid296,-48,-92,0
297,gid297,-48,-88,0
298,gid298,-48,-84,0
299,gid299,-48,-80,0
300,gid300,-48,-76,0
301,gid301,-48,-72,0
